id,name,formula,formula_weight
13BDglcn[e],1_3_beta_D_Glucan,C6H10O5,162.1406
4abut[e],4_Aminobutanoate,C4H9NO2,103.11976
5aop[e],5_Amino_4_oxopentanoate,C5H9NO3,131.12986
8aonn[e],8_Amino_7_oxononanoate,C9H17NO3,187.23618
abt[e],L_Arabinitol,C5H12O5,152.14578
ac[e],Acetate,C2H3O2,59.04402
ade[e],Adenine,C5H5N5,135.1267
adn[e],Adenosine,C10H13N5O4,267.24132
akg[e],2_Oxoglutarate,C5H4O5,144.08226000000002
ala_L[e],L_Alanine,C3H7NO2,89.09318
alltn[e],Allantoin,C4H6N4O3,158.11544
alltt[e],Allantoate,C4H7N4O4,175.12278
amet[e],S_Adenosyl_L_methionine,C15H23N6O5S,399.44532000000004
arab_D[e],D_Arabinose,C5H10O5,150.12990000000002
arab_L[e],L_Arabinose,C5H10O5,150.12990000000002
arg_L[e],L_Arginine,C6H15N4O2,175.2089
asn_L[e],L_Asparagine,C4H8N2O3,132.11792
asp_L[e],L_Aspartate,C4H6NO4,132.09474
buca[e],butanoate,C4H8O2,88.10512
btn[e],Biotin,C10H15N2O3S,243.3027
chol[e],Choline,C5H14NO,104.17075999999999
cit[e],Citrate,C6H5O7,189.09969999999998
co2[e],CO2,CO2,44.0095
crn[e],L_Carnitine,C7H15NO3,161.19889999999998
csn[e],Cytosine,C4H5N3O,111.10199999999999
cys_L[e],L_Cysteine,C3H7NO2S,121.15818
cytd[e],Cytidine,C9H13N3O5,243.21662000000003
dad_2[e],Deoxyadenosine,C10H13N5O3,251.24192
dann[e],7_8_Diaminononanoate,C9H21N2O2,189.27523999999997
dcyt[e],Deoxycytidine,C9H13N3O4,227.21722000000003
ddca[e],Dodecanoate__n_C120_,C12H23O2,199.30981999999997
dgsn[e],Deoxyguanosine,C10H13N5O4,267.24132
din[e],Deoxyinosine,C10H12N4O4,252.22668000000002
dttp[e],dTTP,C10H13N2O14P3,478.136503
duri[e],Deoxyuridine,C9H12N2O5,228.20198
ergst[e],Ergosterol,C28H44O,396.64835999999997
etoh[e],Ethanol,C2H6O,46.06844
fmn[e],FMN,C17H19N4O9P,454.327921
for[e],Formate,CH1O2,45.01744
fru[e],D_Fructose,C6H12O6,180.15588
fum[e],Fumarate,C4H2O4,114.05628
gal[e],D_Galactose,C6H12O6,180.15588
gam6p[e],D_Glucosamine_6_phosphate,C6H13NO8P,258.143081
gcald[e],Glycolaldehyde,C2H4O2,60.051959999999994
glc_D[e],D_Glucose,C6H12O6,180.15588
gln_L[e],L_Glutamine,C5H10N2O3,146.1445
glu_L[e],L_Glutamate,C5H8NO4,146.12132
gly[e],Glycine,C2H5NO2,75.0666
glyc[e],Glycerol,C3H8O3,92.09382
gsn[e],Guanosine,C10H13N5O5,283.24072
gthox[e],Oxidized_glutathione,C20H30N6O12S2,610.6152
gua[e],Guanine,C5H5N5O,151.1261
h2o[e],H2O,H2O,18.01528
h[e],H,H,1.00794
hdca[e],Hexadecanoate__n_C160_,C16H31O2,255.41613999999998
hca[e],hexanoate,C6H12O2,116.15828
hdcea[e],Hexadecenoate__n_C161_,C16H29O2,253.40025999999997
his_L[e],L_Histidine,C6H9N3O2,155.15456
hxan[e],Hypoxanthine,C5H4N4O,136.11146000000002
ile_L[e],L_Isoleucine,C6H13NO2,131.17291999999998
inost[e],myo_Inositol,C6H12O6,180.15588
ins[e],Inosine,C10H12N4O5,268.22608
k[e],potassium,K,39.0983
lac_L[e],L_Lactate,C3H5O3,89.07
leu_L[e],L_Leucine,C6H13NO2,131.17291999999998
lys_L[e],L_Lysine,C6H15N2O2,147.1955
mal_L[e],L_Malate,C4H4O5,132.07156
malt[e],Maltose,C12H22O11,342.29648
man[e],D_Mannose,C6H12O6,180.15588
melib[e],Melibiose,C12H22O11,342.29648
met_L[e],L_Methionine,C5H11NO2S,149.21134
mmet[e],S_Methyl_L_methionine,C6H14NO2S,164.24586
na1[e],Sodium,Na,22.98977
nh4[e],Ammonium,H4N,18.03846
nmn[e],NMN,C11H14N2O8P,333.211221
o2[e],O2,O2,31.9988
ocdca[e],octadecanoate__n_C180_,C18H35O2,283.46930000000003
ocdcea[e],octadecenoate__n_C181_,C18H33O2,281.45342
ocdcya[e],octadecadienoate__n_C182_,C18H31O2,279.43754
orn[e],Ornithine,C5H13N2O2,133.16892
pap[e],Adenosine_3__5__bisphosphate,C10H11N5O10P2,423.16936200000004
phe_L[e],L_Phenylalanine,C9H11NO2,165.18913999999998
pi[e],Phosphate,HO4P,95.97930099999999
pnto_R[e],R__Pantothenate,C9H16NO5,218.22704
pro_L[e],L_Proline,C5H9NO2,115.13046
ptrc[e],Putrescine,C4H14N2,90.16736
pyr[e],Pyruvate,C3H3O3,87.05412
rib_D[e],D_Ribose,C5H10O5,150.12990000000002
ribflv[e],Riboflavin,C17H20N4O6,376.36389999999994
sbt_D[e],D_Sorbitol,C6H14O6,182.17176
sbt_L[e],L_Sorbitol,C6H14O6,182.17176
ser_L[e],L_Serine,C3H7NO3,105.09258
so4[e],Sulfate,O4S,96.0626
spmd[e],Spermidine,C7H22N3,148.26968
sprm[e],Spermine,C10H30N4,206.372
srb_L[e],L_Sorbose,C6H12O6,180.15588
succ[e],Succinate,C4H4O4,116.07216
thm[e],Thiamin,C12H17N4OS,265.35458000000006
thmmp[e],Thiamin_monophosphate,C12H16N4O4PS,343.318601
thmpp[e],Thiamine_diphosphate,C12H16N4O7P2S,422.290562
thr_L[e],L_Threonine,C4H9NO3,119.11916
thym[e],Thymine,C5H6N2O2,126.11334000000001
thymd[e],Thymidine,C10H14N2O5,242.22856000000002
tre[e],Trehalose,C12H22O11,342.29648
trp_L[e],L_Tryptophan,C11H12N2O2,204.22518
ttdca[e],tetradecanoate__n_C140_,C14H27O2,227.36298
tyr_L[e],L_Tyrosine,C9H11NO3,181.18854
ura[e],Uracil,C4H4N2O2,112.08676
urea[e],Urea,CH4N2O,60.05526
uri[e],Uridine,C9H12N2O6,244.20138
val_L[e],L_Valine,C5H11NO2,117.14634
xan[e],Xanthine,C5H4N4O2,152.11086
xtsn[e],Xanthosine,C10H12N4O6,284.22548
xyl_D[e],D_Xylose,C5H10O5,150.12990000000002
xylt[e],Xylitol,C5H12O5,152.14578
zymst[e],zymosterol,C27H44O,384.63766
decane[e],Decane,R,
dodec[e],Dodecane,R,
hedecane[e],Hexadecane,R,
C10DC[e],Decanedioate,C10H16O4,200.23164
