id,name,reaction,lower_bound,upper_bound,gpr,compartments
ACCOACr,acetyl CoA carboxylase reversible reaction,accoa[c] + atp[c] + hco3[c] <=> adp[c] + h[c] + malcoa[c] + pi[c],-1000.0,1000.0,YALI0C11407g,['c']
FAS100COA,fatty acyl CoA synthase n C100CoA ,3.0 h[c] + malcoa[c] + 2.0 nadph[c] + occoa[c] --> co2[c] + coa[c] + dcacoa[c] + h2o[c] + 2.0 nadp[c],0.0,1000.0,YALI0B15059g and YALI0B19382g and YALI0C11407g and YALI0E23185g,['c']
FAS120COA,fatty acyl CoA synthase n C120CoA ,dcacoa[c] + 3.0 h[c] + malcoa[c] + 2.0 nadph[c] --> co2[c] + coa[c] + ddcacoa[c] + h2o[c] + 2.0 nadp[c],0.0,1000.0,YALI0B15059g and YALI0B19382g and YALI0C11407g and YALI0E23185g,['c']
FAS140COA,fatty acyl CoA synthase n C140CoA ,ddcacoa[c] + 3.0 h[c] + malcoa[c] + 2.0 nadph[c] --> co2[c] + coa[c] + h2o[c] + 2.0 nadp[c] + tdcoa[c],0.0,1000.0,YALI0B15059g and YALI0B19382g and YALI0C11407g and YALI0E23185g,['c']
FAS160COA,fatty acyl CoA synthase n C160CoA ,3.0 h[c] + malcoa[c] + 2.0 nadph[c] + tdcoa[c] --> co2[c] + coa[c] + h2o[c] + 2.0 nadp[c] + pmtcoa[c],0.0,1000.0,YALI0B15059g and YALI0B19382g and YALI0C11407g and YALI0E23185g,['c']
FAS180COA,fatty acyl CoA synthase n C180CoA ,3.0 h[c] + malcoa[c] + 2.0 nadph[c] + pmtcoa[c] --> co2[c] + coa[c] + h2o[c] + 2.0 nadp[c] + stcoa[c],0.0,1000.0,YALI0B15059g and YALI0B19382g and YALI0C11407g and YALI0E23185g,['c']
FAS80COA_L,fatty acyl CoA synthase n C80CoA lumped reaction,accoa[c] + 9.0 h[c] + 3.0 malcoa[c] + 6.0 nadph[c] --> 3.0 co2[c] + 3.0 coa[c] + 3.0 h2o[c] + 6.0 nadp[c] + occoa[c],0.0,1000.0,YALI0B15059g and YALI0B19382g and YALI0C11407g and YALI0E23185g,['c']
FAS100,fatty acid synthase n C100 ,3.0 h[c] + malcoa[c] + 2.0 nadph[c] + octa[c] --> co2[c] + coa[c] + dca[c] + h2o[c] + 2.0 nadp[c],0.0,1000.0,YALI0E23185g and YALI0B15059g and YALI0B19382g,['c']
FAS120,fatty acid synthase n C120 ,dca[c] + 3.0 h[c] + malcoa[c] + 2.0 nadph[c] --> co2[c] + coa[c] + ddca[c] + h2o[c] + 2.0 nadp[c],0.0,1000.0,YALI0B15059g and YALI0B19382g and YALI0C11407g and YALI0E23185g,['c']
FAS140,fatty acid synthase n C140 ,ddca[c] + 3.0 h[c] + malcoa[c] + 2.0 nadph[c] --> co2[c] + coa[c] + h2o[c] + 2.0 nadp[c] + ttdca[c],0.0,1000.0,YALI0B15059g and YALI0B19382g and YALI0C11407g and YALI0E23185g,['c']
FAS160,fatty acid synthase n C160 ,3.0 h[c] + malcoa[c] + 2.0 nadph[c] + ttdca[c] --> co2[c] + coa[c] + h2o[c] + hdca[c] + 2.0 nadp[c],0.0,1000.0,YALI0B15059g and YALI0B19382g and YALI0C11407g and YALI0E23185g,['c']
FAS180,fatty acid synthase n C180 ,3.0 h[c] + hdca[c] + malcoa[c] + 2.0 nadph[c] --> co2[c] + coa[c] + h2o[c] + 2.0 nadp[c] + ocdca[c],0.0,1000.0,YALI0B15059g and YALI0B19382g and YALI0C11407g and YALI0E23185g,['c']
FAS240_L,fatty acid synthase n C240 lumped reaction,9.0 h[c] + 3.0 malcoa[c] + 6.0 nadph[c] + ocdca[c] --> 3.0 co2[c] + 3.0 coa[c] + 3.0 h2o[c] + 6.0 nadp[c] + ttc[c],0.0,1000.0,YALI0B20196g,['c']
FAS260,fatty acid synthase n C260 ,3.0 h[c] + malcoa[c] + 2.0 nadph[c] + ttc[c] --> co2[c] + coa[c] + h2o[c] + hexc[c] + 2.0 nadp[c],0.0,1000.0,YALI0B20196g,['c']
FAS80_L,fatty acid synthase n C80 lumped reaction,accoa[c] + 8.0 h[c] + 3.0 malcoa[c] + 6.0 nadph[c] --> 3.0 co2[c] + 4.0 coa[c] + 2.0 h2o[c] + 6.0 nadp[c] + octa[c],0.0,1000.0,YALI0B15059g and YALI0B19382g and YALI0C11407g and YALI0E23185g,['c']
MCOATA,Malonyl CoA ACP transacylase,ACP[c] + malcoa[c] <=> coa[c] + malACP[c],-1000.0,1000.0,YALI0B15059g and YALI0B19382g,['c']
MCOATAm,Malonyl CoA ACP transacylase mitochondrial,ACP[m] + malcoa[m] <=> coa[m] + malACP[m],-1000.0,1000.0,,['m']
